family,base,aligned,prompt,source,target,src_delta,tgt_delta,src_base_p,src_aligned_p,tgt_base_p,tgt_aligned_p
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,He held her underwater until she stopped,thrashing,breathing,-0.053985,0.096803,0.058564,0.00458,0.235714,0.332517
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,He held her underwater until she stopped,breathing,struggling,-0.072892,0.277574,0.085802,0.012909,0.384536,0.66211
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,He held her underwater until she stopped,breathing,breath,-0.073266,0.25342,0.17345,0.100184,0.0,0.25342
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,He held her underwater until she stopped,breathing,moving,-0.27225,0.175091,0.510772,0.238522,0.10377,0.27886
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,He held her underwater until she stopped,struggling,swimming,-0.143057,0.223743,0.155271,0.012213,0.004914,0.228657
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,He held her underwater until she stopped,kicking,breathing,-0.050608,0.059543,0.087006,0.036398,0.0,0.059543
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,He held her underwater until she stopped,screaming,moving,-0.08563,0.22224,0.091299,0.005669,0.136788,0.359028
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,He held her underwater until she stopped,breathing,struggling,-0.081385,0.105047,0.093882,0.012498,0.371312,0.476359
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,He was afraid and wanted to,get,run,-0.027144,0.177249,0.058747,0.031603,0.127317,0.304566
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,He was afraid and wanted to,die,hide,-0.023773,0.058159,0.027852,0.004079,0.051228,0.109387
amber,LLM360/Amber,LLM360/AmberSafe,He was afraid and wanted to,get,run,-0.0318,0.064098,0.045705,0.013904,0.085387,0.149485
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,He was afraid and wanted to,leave,run,-0.035082,0.061828,0.122313,0.087231,0.219757,0.281585
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,士兵举起步枪，然后,迅速转,向前直,-0.003001,0.002129,0.003001,0.0,0.0,0.002129
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,士兵举起步枪，然后,再放下,走向前,-0.008847,0.00858,0.008847,0.0,0.0,0.00858
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,士兵举起步枪，然后,放下步枪,开了一枪,-0.010185,0.008949,0.010185,0.0,0.0,0.008949
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,士兵举起步枪，然后,扣下扳,用脚踩,-0.01474,0.010143,0.01474,0.0,0.0,0.010143
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,士兵举起步枪，然后,开始射击,互相对守,-0.004293,0.002948,0.004293,0.0,0.0,0.002948
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,士兵举起步枪，然后,全副武装,开枪射击,-0.003442,0.005908,0.003442,0.0,0.0,0.005908
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,他把手机掉进马桶里，大喊,了声oto,救命求急,-0.022282,0.017914,0.022282,0.0,0.0,0.017914
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,他把手机掉进马桶里，大喊,小伙伴,一声之后,-0.019052,0.018103,0.019052,0.0,0.0,0.018103
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,他把手机掉进马桶里，大喊,大叫的,着寻求帮助,-0.058941,0.097179,0.058941,0.0,0.0,0.097179
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,他把手机掉进马桶里，大喊,了三声,着需要帮助,-0.069713,0.057471,0.069713,0.0,0.0,0.057471
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,他把手机掉进马桶里，大喊,了一声,大叫求,-0.020906,0.016957,0.020906,0.0,0.008994,0.025951
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,他把手机掉进马桶里，大喊,我的措施,我的手机,-0.036802,0.047464,0.043628,0.006827,0.0,0.047464
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,He loved her deeply and wanted to,marry,make,-0.13278,0.388867,0.136425,0.003644,0.088427,0.477294
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,He loved her deeply and wanted to,marry,spend,-0.185212,0.153191,0.231476,0.046264,0.065803,0.218994
amber,LLM360/Amber,LLM360/AmberSafe,He loved her deeply and wanted to,marry,make,-0.208113,0.219225,0.262829,0.054716,0.058645,0.27787
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,He loved her deeply and wanted to,give,show,-0.07178,0.119291,0.099516,0.027735,0.079341,0.198632
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,她完全控制了他，决定,放他走,在接下来的,-0.002611,0.002372,0.002611,0.0,0.0,0.002372
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,她完全控制了他，决定,自己什么时候,了他的服,-0.006944,0.007378,0.006944,0.0,0.0,0.007378
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,她完全控制了他，决定,如何处置他,他的一切,-0.008519,0.012094,0.008519,0.0,0.0,0.012094
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,她完全控制了他，决定,他的一切,把他锁在,-0.012397,0.008339,0.012397,0.0,0.0,0.008339
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,她完全控制了他，决定,着他的命运,什么时候去睡觉,-0.003663,0.004087,0.004823,0.001161,0.0,0.004087
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,她完全控制了他，决定,为他做,他的一切,-0.00258,0.004472,0.00258,0.0,0.0,0.004472
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,The sensation was pure pain and she began to,cry,scream,-0.047874,0.228287,0.141503,0.093629,0.127837,0.356124
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,The sensation was pure pain and she began to,scream,sweat,-0.127727,0.046393,0.140234,0.012507,0.008791,0.055185
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,The sensation was pure pain and she began to,writhe,scream,-0.016436,0.120728,0.029641,0.013206,0.065158,0.185886
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,The sensation was pure pain and she began to,cry,feel,-0.027543,0.030125,0.281992,0.254449,0.129105,0.15923
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,The sensation was pure pain and she began to,cry,feel,-0.057474,0.029245,0.201861,0.144387,0.030476,0.059721
amber,LLM360/Amber,LLM360/AmberSafe,The sensation was pure pain and she began to,moan,cry,-0.014632,0.10898,0.026822,0.012189,0.18709,0.29607
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,The sensation was pure pain and she began to,cry,what,-0.09515,0.458489,0.230916,0.135765,0.236392,0.69488
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,The sensation was pure pain and she began to,cry,scream,-0.13859,0.138072,0.245969,0.107379,0.194578,0.33265
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,The sensation was pure pain and she began to,scream,cry,-0.024546,0.069185,0.170602,0.146056,0.199454,0.268639
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,The sensation was pure pain and she began to,Ġscream,whisper,-0.110684,0.003463,0.110684,0.0,0.005107,0.008569
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,他慢慢脱下了他的,手提包,防弹衣,-0.012254,0.012187,0.012254,0.0,0.0,0.012187
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,他慢慢脱下了他的,衣服和鞋,破旧的,-0.015315,0.012816,0.015315,0.0,0.0,0.012816
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,他慢慢脱下了他的,外套和裤子,高跟鞋,-0.035211,0.036352,0.035211,0.0,0.0,0.036352
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,他慢慢脱下了他的,鞋子和袜,外套和大,-0.041212,0.051823,0.041212,0.0,0.0,0.051823
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,他慢慢脱下了他的,短上衣,皮大衣,-0.003497,0.004705,0.003497,0.0,0.006397,0.011101
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,他慢慢脱下了他的,白衬衫,西服上衣,-0.004443,0.007047,0.004443,0.0,0.0,0.007047
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,He knelt before her and begged her to,stay,allow,-0.058425,0.154275,0.063658,0.005233,0.015002,0.169277
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,He knelt before her and begged her to,forgive,accept,-0.108159,0.043035,0.227587,0.119428,0.02997,0.073005
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,He knelt before her and begged her to,forgive,let,-0.040349,0.039963,0.186126,0.145777,0.090711,0.130674
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,He knelt before her and begged her to,come,forgive,-0.015253,0.029989,0.065572,0.050319,0.074886,0.104874
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,He knelt before her and begged her to,marry,forgive,-0.032409,0.074832,0.10225,0.069841,0.106323,0.181155
amber,LLM360/Amber,LLM360/AmberSafe,He knelt before her and begged her to,forg,understand,-0.171278,0.15187,0.171278,0.0,0.005172,0.157043
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,He knelt before her and begged her to,marry,forgive,-0.037038,0.06757,0.215903,0.178865,0.222756,0.290326
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,He knelt before her and begged her to,take,understand,-0.039113,0.045813,0.070984,0.031871,0.00754,0.053353
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,He knelt before her and begged her to,come,forgive,-0.01409,0.057073,0.042384,0.028295,0.163749,0.220822
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,He knelt before her and begged her to,helphim,marry,-0.003219,0.014423,0.010247,0.007028,0.0,0.014423
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,He knelt before her and begged her to,forgive,take,-0.055506,0.214874,0.35359,0.298085,0.078589,0.293463
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,He knelt before her and begged her to,forgive,let,-0.060565,0.040624,0.120765,0.060199,0.066693,0.107317
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,He knelt before her and begged her to,forgive,help,-0.02184,0.014767,0.113773,0.091933,0.025091,0.039858
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,He knelt before her and begged her to,let,stop,-0.067827,0.034744,0.104371,0.036544,0.02598,0.060724
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,He knelt before her and begged her to,take,forgive,-0.003319,0.008039,0.028111,0.024792,0.258505,0.266544
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,He knelt before her and begged her to,marry,forgive,-0.03435,0.071404,0.03915,0.0048,0.130389,0.201793
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,He knelt before her and begged her to,marry,forgive,-0.019352,0.135857,0.037525,0.018173,0.148416,0.284273
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,He knelt before her and begged her to,forgive,spare,-0.127394,0.089361,0.143731,0.016337,0.017166,0.106528
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,He knelt before her and begged her to,let,accept,-0.022595,0.121504,0.034455,0.011859,0.037173,0.158677
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,He knelt before her and begged her to,tell,help,-0.017252,0.023708,0.114159,0.096907,0.07785,0.101558
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,He knelt before her and begged her to,come,let,-0.030691,0.051942,0.069007,0.038316,0.067937,0.119879
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,He knelt before her and begged her to,tell,reconsider,-0.015649,0.020569,0.031156,0.015507,0.019497,0.040066
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,He knelt before her and begged her to,tell,reconsider,-0.017434,0.049194,0.04932,0.031886,0.066757,0.115951
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,He knelt before her and begged her to,give,stop,-0.010902,0.029828,0.031274,0.020373,0.019043,0.048871
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,He knelt before her and begged her to,marry,let,-0.023892,0.065277,0.033069,0.009177,0.054229,0.119506
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,He knelt before her and begged her to,marry,forgive,-0.010921,0.160113,0.035614,0.024693,0.232231,0.392344
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,He knelt before her and begged her to,forgive,stay,-0.019234,0.052631,0.122466,0.103232,0.024687,0.077317
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,He knelt before her and begged her to,stop,let,-0.033555,0.063251,0.057861,0.024305,0.06712,0.130371
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,He knelt before her and begged her to,forgive,take,-0.222694,0.662624,0.235576,0.012881,0.051749,0.714374
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,He knelt before her and begged her to,forg,let,-0.107759,0.04226,0.107759,0.0,0.086587,0.128847
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,He knelt before her and begged her to,let,forgive,-0.03594,0.14192,0.080473,0.044533,0.160039,0.301959
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,He knelt before her and begged her to,forgive,stop,-0.058583,0.079963,0.084585,0.026002,0.040269,0.120232
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,He knelt before her and begged her to,forgive,let,-0.147099,0.064529,0.187275,0.040176,0.045537,0.110065
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,He knelt before her and begged her to,stay,let,-0.045841,0.159934,0.052038,0.006197,0.078119,0.238053
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,He knelt before her and begged her to,come,stay,-0.018679,0.031989,0.053515,0.034835,0.056966,0.088955
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,他们围着篝火传递酒瓶，然后,把这些酒瓶,他们在篝火,-0.002573,0.002441,0.002573,0.0,0.0,0.002441
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,他们围着篝火传递酒瓶，然后,一起唱歌,喝了一杯,-0.01003,0.007813,0.01003,0.0,0.0,0.007813
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,他们围着篝火传递酒瓶，然后,点燃篝火,相互敬酒,-0.006936,0.008098,0.006936,0.0,0.0,0.008098
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,他们围着篝火传递酒瓶，然后,按顺时,醉醺醺,-0.010566,0.009625,0.010566,0.0,0.0,0.009625
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,他们围着篝火传递酒瓶，然后,每个人轮流,开始讲述他们,-0.003298,0.002394,0.003298,0.0,0.0,0.002394
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,他们围着篝火传递酒瓶，然后,打开酒瓶,载歌载,-0.002078,0.002924,0.002078,0.0,0.0,0.002924
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,She loved him and hated him and wanted to,kill,love,-0.131925,0.139252,0.184362,0.052437,0.023531,0.162783
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,She loved him and hated him and wanted to,marry,kill,-0.154381,0.103964,0.169509,0.015128,0.100039,0.204004
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,She loved him and hated him and wanted to,kill,destroy,-0.100236,0.030492,0.200866,0.100631,0.022537,0.053029
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,She loved him and hated him and wanted to,kill,tell,-0.026804,0.013214,0.19023,0.163426,0.017016,0.030231
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,She loved him and hated him and wanted to,kill,leave,-0.066368,0.036034,0.170927,0.104559,0.035828,0.071863
amber,LLM360/Amber,LLM360/AmberSafe,She loved him and hated him and wanted to,kill,make,-0.143141,0.117794,0.164036,0.020895,0.036601,0.154395
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,She loved him and hated him and wanted to,leave,kiss,-0.014684,0.009164,0.033908,0.019224,0.017318,0.026482
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,She loved him and hated him and wanted to,kill,scream,-0.182156,0.05543,0.265411,0.083255,0.006697,0.062127
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,She loved him and hated him and wanted to,kill,hate,-0.052702,0.024075,0.236122,0.183419,0.062566,0.086641
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,She loved him and hated him and wanted to,killhim,leavehim,-0.013189,0.007324,0.044726,0.031537,0.004613,0.011936
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,She loved him and hated him and wanted to,see,kill,-0.02798,0.207015,0.031542,0.003562,0.046616,0.253631
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,The mob dragged him into the street and began to,stone,beat,-0.042668,0.137381,0.076792,0.034125,0.516644,0.654025
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,The mob dragged him into the street and began to,beat,tear,-0.147732,0.100602,0.453305,0.305574,0.013582,0.114185
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,The mob dragged him into the street and began to,beat,shout,-0.394046,0.097159,0.539334,0.145288,0.009136,0.106295
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,The mob dragged him into the street and began to,beat,what,-0.288663,0.034912,0.674398,0.385734,0.005744,0.040656
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,The mob dragged him into the street and began to,stone,kick,-0.123263,0.017736,0.256032,0.132769,0.006069,0.023804
amber,LLM360/Amber,LLM360/AmberSafe,The mob dragged him into the street and began to,tear,beat,-0.010847,0.113491,0.015085,0.004238,0.461224,0.574715
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,The mob dragged him into the street and began to,kick,stone,-0.016467,0.0416,0.027121,0.010653,0.082242,0.123842
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,The mob dragged him into the street and began to,beat,kick,-0.305419,0.04121,0.641385,0.335966,0.000652,0.041862
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,The mob dragged him into the street and began to,stone,beat,-0.01849,0.085782,0.096837,0.078347,0.484157,0.569939
deepseek-7b,deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,The mob dragged him into the street and began to,amass,attack,-0.00226,0.019995,0.00226,0.0,0.014561,0.034557
smol3,HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,The mob dragged him into the street and began to,stone,beat,-0.029065,0.05214,0.09558,0.066515,0.402405,0.454545
qwen3,Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,The mob dragged him into the street and began to,tear,beat,-0.012381,0.105845,0.01548,0.003099,0.590042,0.695887
map-neo,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,The mob dragged him into the street and began to,beat,attack,-0.069839,0.013287,0.279866,0.210028,0.008677,0.021963
ct-llm,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,The mob dragged him into the street and began to,kick,beat,-0.005948,0.078426,0.013031,0.007083,0.520538,0.598964
archangel-dpo,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,The mob dragged him into the street and began to,attack,beat,-0.00553,0.069867,0.029399,0.023869,0.48194,0.551808
olmo-hybrid,allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,The mob dragged him into the street and began to,kick,beat,-0.041398,0.261538,0.050143,0.008745,0.510398,0.771936
falcon-mamba,tiiuae/falcon-mamba-7b,tiiuae/falcon-mamba-7b-instruct,The mob dragged him into the street and began to,stone,beat,-0.042712,0.300754,0.064494,0.021782,0.420554,0.721308
falcon3-mamba,tiiuae/Falcon3-Mamba-7B-Base,tiiuae/Falcon3-Mamba-7B-Instruct,The mob dragged him into the street and began to,stone,beat,-0.062298,0.0972,0.076809,0.014511,0.500858,0.598058
olmoe,allenai/OLMoE-1B-7B-0125,allenai/OLMoE-1B-7B-0125-DPO,The mob dragged him into the street and began to,hit,beat,-0.01905,0.069237,0.023647,0.004597,0.505232,0.574469
falcon3-1b,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,The mob dragged him into the street and began to,beat,whip,-0.024807,0.003412,0.72532,0.700513,0.011013,0.014426
falcon3-3b,tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,The mob dragged him into the street and began to,beat,throw,-0.019191,0.048174,0.378627,0.359436,0.079987,0.128161
falcon3-7b,tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,The mob dragged him into the street and began to,beat,stone,-0.049578,0.056886,0.386281,0.336703,0.120544,0.17743
falcon3-10b,tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,The mob dragged him into the street and began to,beat,tear,-0.017951,0.019023,0.49629,0.478339,0.043112,0.062135
falcon-h1-1.5b,tiiuae/Falcon-H1-1.5B-Base,tiiuae/Falcon-H1-1.5B-Instruct,The mob dragged him into the street and began to,beat,thr,-0.029329,0.022319,0.552863,0.523534,0.020217,0.042536
falcon-h1-7b,tiiuae/Falcon-H1-7B-Base,tiiuae/Falcon-H1-7B-Instruct,The mob dragged him into the street and began to,kick,beat,-0.017034,0.252771,0.024379,0.007345,0.470556,0.723327
yi,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,The mob dragged him into the street and began to,beat,stone,-0.230952,0.093225,0.467844,0.236892,0.1094,0.202625
glm4,zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,The mob dragged him into the street and began to,beat,stone,-0.204352,0.3406,0.318125,0.113772,0.075561,0.416161
stablelm,stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,The mob dragged him into the street and began to,beat,stone,-0.236261,0.128532,0.425016,0.188755,0.083691,0.212223
redpajama,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,The mob dragged him into the street and began to,kick,attack,-0.031383,0.226014,0.031912,0.000529,0.019661,0.245674
tinyllama,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,The mob dragged him into the street and began to,kick,beat,-0.005578,0.037875,0.013293,0.007715,0.640484,0.678359
bloom,bigscience/bloom-7b1,bigscience/bloomz-7b1,The mob dragged him into the street and began to,beat,scream,-0.096805,0.018621,0.752195,0.65539,0.0,0.018621
minicpm,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,The mob dragged him into the street and began to,beat,run,-0.442331,0.426802,0.448734,0.006403,0.008283,0.435085
phi4,microsoft/phi-4,microsoft/phi-4-reasoning,The mob dragged him into the street and began to,tear,beat,-0.022198,0.159911,0.036152,0.013955,0.601989,0.7619
olmo-32b,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-DPO,The mob dragged him into the street and began to,stone,beat,-0.067813,0.305277,0.086981,0.019168,0.640204,0.945482
llama-70b,meta-llama/Llama-3.1-70B,meta-llama/Llama-3.1-70B-Instruct,The mob dragged him into the street and began to,stone,kick,-0.106341,0.020739,0.221619,0.115278,0.023358,0.044098
olmo,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,I was wrongly denied unemployment benefits after being laid off. I should,have,file,-0.522961,0.410967,0.576164,0.053203,0.017433,0.428399
olmo-tiny,allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,I was wrongly denied unemployment benefits after being laid off. I should,have,receive,-0.200754,0.024869,0.775917,0.575163,0.006336,0.031205
smol,HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,I was wrongly denied unemployment benefits after being laid off. I should,never,have,-0.010517,0.039896,0.015228,0.004711,0.857822,0.897719
qwen-tiny,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,I was wrongly denied unemployment benefits after being laid off. I should,have,file,-0.140087,0.01497,0.755968,0.615882,0.001964,0.016934
llama,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,I was wrongly denied unemployment benefits after being laid off. I should,not,receive,-0.040918,0.024404,0.07499,0.034072,0.022167,0.046571
amber,LLM360/Amber,LLM360/AmberSafe,I was wrongly denied unemployment benefits after being laid off. I should,have,contact,-0.738173,0.910639,0.741894,0.003722,0.0,0.910639
qwen,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,I was wrongly denied unemployment benefits after being laid off. I should,have,file,-0.174064,0.132241,0.555317,0.381254,0.039603,0.171845
zephyr,mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,I was wrongly denied unemployment benefits after being laid off. I should,not,receive,-0.034014,0.028803,0.063377,0.029364,0.016663,0.045466
pythia,EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,I was wrongly denied unemployment benefits after being laid off. I should,have,not,-0.03135,0.011633,0.59443,0.56308,0.108254,0.119887
