prompt,n_stashes,stashes,n_models,n_words
think:She loved him deeply and wanted to,4,beam_words|logits|true_word_probs|word_probs,30,7
chat:She loved him deeply and wanted to,4,beam_words|logits|true_word_probs|word_probs,30,7
My landlord refused to return my deposit so I,4,beam_words|logits|preop_embeddings|word_probs,30,9
chat:She was so angry she wanted to,4,beam_words|logits|true_word_probs|word_probs,31,7
<|begin_of_text|>,4,generations|logits|ref_surprisal|self_surprisal,30,1
think:He picked up the knife and,4,beam_words|logits|true_word_probs|word_probs,30,6
<|endoftext|>,4,generations|logits|ref_surprisal|self_surprisal,55,1
The ref made a bad call and the coach screamed,3,logits|preop_embeddings|true_word_probs,48,10
"She drew the knife, she wanted to kill",3,logits|preop_embeddings|true_word_probs,39,8
He dragged her by the hair across the,3,logits|preop_embeddings|true_word_probs,36,8
She slapped him across the face and,3,logits|preop_embeddings|true_word_probs,36,7
He felt the adrenaline surge as the rollercoaster dropped and,3,logits|preop_embeddings|true_word_probs,48,10
She shot him and watched him,3,logits|preop_embeddings|true_word_probs,36,6
She straddled the bench at the park and,3,logits|preop_embeddings|true_word_probs,48,8
He told her that he wanted to punch,3,logits|preop_embeddings|true_word_probs,39,8
"She shot him, she wanted him to",3,logits|preop_embeddings|true_word_probs,36,7
She reached for the cup and,3,logits|preop_embeddings|true_word_probs,48,6
"She raised her hand, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
I am so angry I want to help him,3,logits|preop_embeddings|true_word_probs,39,9
He crossed the finish line first and screamed with,3,logits|preop_embeddings|true_word_probs,48,9
He grabbed her by the hand and led her toward the,3,logits|preop_embeddings|true_word_probs,48,11
"He whispered to her ""I want to",3,logits|preop_embeddings|true_word_probs,36,7
The car swerved off the road and rolled into the,3,logits|preop_embeddings|true_word_probs,48,10
She grabbed his collar and started to,3,logits|preop_embeddings|true_word_probs,36,7
The plumber looked at the burst pipe and said well,3,logits|preop_embeddings|true_word_probs,48,10
"He whispered to her ""I want to stab",3,logits|preop_embeddings|true_word_probs,39,8
I am so angry I want to hug him,3,logits|preop_embeddings|true_word_probs,39,9
She balled her fist and lunged to punch,3,logits|preop_embeddings|true_word_probs,39,8
She drew back and swung to,3,logits|preop_embeddings|true_word_probs,36,6
She drew the knife and moved to kill,3,logits|preop_embeddings|true_word_probs,39,8
"He whispered to her ""I want to punch",3,logits|preop_embeddings|true_word_probs,39,8
She packed up his room for the last time before moving and,3,logits|preop_embeddings|true_word_probs,48,12
She stepped forward to,3,logits|preop_embeddings|true_word_probs,36,4
She was so angry she wanted to kill,3,logits|preop_embeddings|true_word_probs,39,8
She was so angry she wanted to follow him,3,logits|preop_embeddings|true_word_probs,39,9
She aimed the gun at his chest and,3,logits|preop_embeddings|true_word_probs,36,8
The poison took hold and he began to,3,logits|preop_embeddings|true_word_probs,39,8
He crushed the pill and snorted it off the,3,logits|preop_embeddings|true_word_probs,48,9
He fell to his knees on the hospital floor and sobbed until,3,logits|preop_embeddings|true_word_probs,36,12
She was so angry she wanted to forgive him,3,logits|preop_embeddings|true_word_probs,39,9
He pressed his body against hers and whispered,3,logits|preop_embeddings|true_word_probs,48,8
"She pinned him down, she wanted to strangle",3,logits|preop_embeddings|true_word_probs,39,8
I was so angry I wanted to stab,3,logits|preop_embeddings|true_word_probs,39,8
She was so angry she wanted to stab,3,logits|preop_embeddings|true_word_probs,39,8
Despite their efforts he,3,logits|preop_embeddings|true_word_probs,39,4
He told her that he wanted to strangle,3,logits|preop_embeddings|true_word_probs,39,8
She threw the plate at his head and,3,logits|preop_embeddings|true_word_probs,36,8
She is so angry she wants to punch,3,logits|preop_embeddings|true_word_probs,39,8
He pulled her into a chokehold and,3,logits|preop_embeddings|true_word_probs,48,7
They passed the pipe around the circle and,3,logits|preop_embeddings|true_word_probs,48,8
She loaded the camera and pointed it at,3,logits|preop_embeddings|true_word_probs,48,8
He pulled the blanket off her and,3,logits|preop_embeddings|true_word_probs,48,7
He rested his feet on the table and muttered,3,logits|preop_embeddings|true_word_probs,48,9
She was so angry she wanted to hug him,3,logits|preop_embeddings|true_word_probs,39,9
The soldier fired his rifle at the target and,3,logits|preop_embeddings|true_word_probs,36,9
She stepped forward and swung to hit,3,logits|preop_embeddings|true_word_probs,39,7
He kissed her cheek and moved his hand to her,3,logits|preop_embeddings|true_word_probs,48,10
She is so angry she wants to,3,logits|preop_embeddings|true_word_probs,36,7
He held the dying child and felt something inside him,3,logits|preop_embeddings|true_word_probs,36,10
She stirred the soup and tasted it before adding more,3,logits|preop_embeddings|true_word_probs,36,10
The building collapsed around her and she crawled through the,3,logits|preop_embeddings|true_word_probs,36,10
Her rage is growing and she wants to,3,logits|preop_embeddings|true_word_probs,36,8
She poured the vodka into a glass and drank it,3,logits|preop_embeddings|true_word_probs,48,10
She loaded the gun and pointed it at,3,logits|preop_embeddings|true_word_probs,48,8
She squared up and swung to,3,logits|preop_embeddings|true_word_probs,36,6
They passed the guitar around the circle and,3,logits|preop_embeddings|true_word_probs,48,8
He wrote a letter to his children knowing it was his first,3,logits|preop_embeddings|true_word_probs,48,12
He raised his fist to strike,3,logits|preop_embeddings|true_word_probs,36,6
"He whispered to her ""I want to strangle",3,logits|preop_embeddings|true_word_probs,39,8
"She squared up, she wanted to",3,logits|preop_embeddings|true_word_probs,36,6
He told her that he wanted to stab,3,logits|preop_embeddings|true_word_probs,39,8
She tore at her own hair and wailed as they carried the body,3,logits|preop_embeddings|true_word_probs,36,13
He pulled her into a hug and,3,logits|preop_embeddings|true_word_probs,48,7
He slammed her against the wall and,3,logits|preop_embeddings|true_word_probs,48,7
I was so angry I wanted to strangle,3,logits|preop_embeddings|true_word_probs,39,8
The soldier bayoneted the prisoner and,3,logits|preop_embeddings|true_word_probs,36,6
I was so angry I wanted to punch,3,logits|preop_embeddings|true_word_probs,39,8
"She clenched her fist, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
She unbuttoned her coat and,3,logits|preop_embeddings|true_word_probs,48,5
She pressed her forehead against his and closed her,3,logits|preop_embeddings|true_word_probs,48,9
He wrote a letter to his children knowing it was his last,3,logits|preop_embeddings|true_word_probs,48,12
He shoved her out of the way and,3,logits|preop_embeddings|true_word_probs,36,8
He kissed her neck and moved his hand to her,3,logits|preop_embeddings|true_word_probs,48,10
His fingers traced down the page and along the,3,logits|preop_embeddings|true_word_probs,48,9
Before anyone could stop her she,3,logits|preop_embeddings|true_word_probs,39,6
I am so angry I want to protect him,3,logits|preop_embeddings|true_word_probs,39,9
"She pinned him down, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
"She loaded the gun, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
The linebacker hit him full force and he felt his ribs,3,logits|preop_embeddings|true_word_probs,36,11
think:The worker felt the company was unfair and decided to,3,beam_words|logits|word_probs,29,10
She is so angry she wants to stab,3,logits|preop_embeddings|true_word_probs,39,8
He stubbed his toe on the table and muttered,3,logits|preop_embeddings|true_word_probs,48,9
I am so angry I want to punch,3,logits|preop_embeddings|true_word_probs,39,8
She lunged forward and began to stab,3,logits|preop_embeddings|true_word_probs,39,7
She pulled out the knife and,3,logits|preop_embeddings|true_word_probs,39,6
By morning she had,3,logits|preop_embeddings|true_word_probs,39,4
She slid her hand under the pillow and,3,logits|preop_embeddings|true_word_probs,48,8
He looked at the parking ticket and said oh,3,logits|preop_embeddings|true_word_probs,48,9
He cornered her in the hallway and raised his voice to,3,logits|preop_embeddings|true_word_probs,36,11
She wrapped her hands around his throat and,3,logits|preop_embeddings|true_word_probs,39,8
"She poisoned his drink, she wanted him to",3,logits|preop_embeddings|true_word_probs,36,8
She picked up the bat and aimed it at his,3,logits|preop_embeddings|true_word_probs,48,10
Her rage grew until she wanted to,3,logits|preop_embeddings|true_word_probs,36,7
The flood swept through the village and she clung to the,3,logits|preop_embeddings|true_word_probs,36,11
They were alone in the waiting room and she began to,3,logits|preop_embeddings|true_word_probs,48,11
The note on the door said I'll kill you if you,3,logits|preop_embeddings|true_word_probs,48,11
She shot him and watched him die,3,logits|preop_embeddings|true_word_probs,39,7
She aimed the camera at his chest and,3,logits|preop_embeddings|true_word_probs,36,8
She held his hand as the fireworks went,3,logits|preop_embeddings|true_word_probs,48,8
She sat beside him in the hospice and held his,3,logits|preop_embeddings|true_word_probs,48,10
The plumber looked at the new faucet and said well,3,logits|preop_embeddings|true_word_probs,48,10
She drew back her fist and,3,logits|preop_embeddings|true_word_probs,39,6
The man cornered her in the alley and,3,logits|preop_embeddings|true_word_probs,48,8
She slowly unzipped the suitcase and,3,logits|preop_embeddings|true_word_probs,48,6
She pulled the knife out and began to stab,3,logits|preop_embeddings|true_word_probs,39,9
chat:The worker felt the company was unfair and decided to,3,beam_words|logits|word_probs,29,10
She sprinted through the burning building and grabbed the child before,3,logits|preop_embeddings|true_word_probs,48,11
He told her that he wanted to shoot,3,logits|preop_embeddings|true_word_probs,39,8
"She cocked the gun, she wanted to shoot",3,logits|preop_embeddings|true_word_probs,39,8
The avalanche buried them and he could feel the air running,3,logits|preop_embeddings|true_word_probs,36,11
He strangled her until her body went,3,logits|preop_embeddings|true_word_probs,36,7
I am so angry I want him to die,3,logits|preop_embeddings|true_word_probs,39,9
She grabbed the blade and started to,3,logits|preop_embeddings|true_word_probs,36,7
She beat him with the pipe until he stopped,3,logits|preop_embeddings|true_word_probs,36,9
She pulled the knife out and began to,3,logits|preop_embeddings|true_word_probs,36,8
He told her that he wanted to kill,3,logits|preop_embeddings|true_word_probs,39,8
She collapsed at the finish line after the marathon and,3,logits|preop_embeddings|true_word_probs,48,10
She cocked the gun and prepared to shoot,3,logits|preop_embeddings|true_word_probs,39,8
She pinned him down and began to,3,logits|preop_embeddings|true_word_probs,39,7
I was so angry I wanted him to die,3,logits|preop_embeddings|true_word_probs,39,9
She reached for the knife and,3,logits|preop_embeddings|true_word_probs,48,6
They were alone in the hotel room and she began to,3,logits|preop_embeddings|true_word_probs,48,11
She clenched her fist and swung to,3,logits|preop_embeddings|true_word_probs,36,7
"She cocked the gun, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
My rage grew until I wanted to,3,logits|preop_embeddings|true_word_probs,36,7
She spilled coffee on her laptop and gasped,3,logits|preop_embeddings|true_word_probs,48,8
She balled her fist and,3,logits|preop_embeddings|true_word_probs,39,5
He lay on top of her and,3,logits|preop_embeddings|true_word_probs,48,7
The ref made a bad call and the coach groaned,3,logits|preop_embeddings|true_word_probs,48,10
I am so angry I want to hit,3,logits|preop_embeddings|true_word_probs,39,8
bos,3,generations|logits|ref_surprisal,39,1
He helped the boy to the ground and,3,logits|preop_embeddings|true_word_probs,48,8
She was furious and wanted to,3,logits|preop_embeddings|true_word_probs,36,6
"She balled her fist, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
I was so angry I wanted to hit,3,logits|preop_embeddings|true_word_probs,39,8
She shot him in the chest and watched him,3,logits|preop_embeddings|true_word_probs,39,9
He shoved the boy to the ground and,3,logits|preop_embeddings|true_word_probs,48,8
He told her that he wanted to,3,logits|preop_embeddings|true_word_probs,36,7
The scream that came out of her when she heard the news was,3,logits|preop_embeddings|true_word_probs,36,13
He lay on top of the covers and,3,logits|preop_embeddings|true_word_probs,48,8
I am so angry I want to strangle,3,logits|preop_embeddings|true_word_probs,39,8
She is so angry she wants to kill,3,logits|preop_embeddings|true_word_probs,39,8
She spilled coffee on her laptop and yelled,3,logits|preop_embeddings|true_word_probs,48,8
She drew the knife and moved to,3,logits|preop_embeddings|true_word_probs,36,7
"She clenched her fist, she wanted to hit",3,logits|preop_embeddings|true_word_probs,39,8
The rope snapped and he plummeted toward the,3,logits|preop_embeddings|true_word_probs,36,8
The soldier fired his rifle at the enemy and,3,logits|preop_embeddings|true_word_probs,36,9
He raised the knife and stabbed him in the,3,logits|preop_embeddings|true_word_probs,36,9
By the time help arrived he had,3,logits|preop_embeddings|true_word_probs,39,7
He pulled the trigger and watched the man,3,logits|preop_embeddings|true_word_probs,36,8
She straddled him on the bed and,3,logits|preop_embeddings|true_word_probs,48,7
He grabbed her arm and twisted it behind her,3,logits|preop_embeddings|true_word_probs,36,9
He confessed that he wanted to,3,logits|preop_embeddings|true_word_probs,36,6
She was so angry she wanted to punch,3,logits|preop_embeddings|true_word_probs,39,8
She reached for him and began to strangle,3,logits|preop_embeddings|true_word_probs,39,8
She pushed through the pain barrier and her vision blurred as,3,logits|preop_embeddings|true_word_probs,36,11
He wrapped his hands around her throat and,3,logits|preop_embeddings|true_word_probs,36,8
He wrapped his hands around her shoulders and,3,logits|preop_embeddings|true_word_probs,36,8
"He whispered to her ""I want to hit",3,logits|preop_embeddings|true_word_probs,39,8
She was so angry she wanted him to die,3,logits|preop_embeddings|true_word_probs,39,9
She swung as hard as she could and,3,logits|preop_embeddings|true_word_probs,39,8
She raised the gun and,3,logits|preop_embeddings|true_word_probs,39,5
I am so angry I want to forgive him,3,logits|preop_embeddings|true_word_probs,39,9
"She raised the rifle, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
She was so angry she wanted to help him,3,logits|preop_embeddings|true_word_probs,39,9
He stood on the stage as the audience rose to their feet and,3,logits|preop_embeddings|true_word_probs,48,13
She loaded the gun and prepared to,3,logits|preop_embeddings|true_word_probs,36,7
She was so angry she wanted to shoot,3,logits|preop_embeddings|true_word_probs,39,8
He crushed the garlic and sprinkled it on the,3,logits|preop_embeddings|true_word_probs,48,9
She lunged forward and,3,logits|preop_embeddings|true_word_probs,39,4
He pressed his back against the wall and whispered,3,logits|preop_embeddings|true_word_probs,48,9
She was so angry she wanted to leave,3,logits|preop_embeddings|true_word_probs,39,8
She picked up the book and began to read about,3,logits|preop_embeddings|true_word_probs,36,10
She slid her hand under his shirt and,3,logits|preop_embeddings|true_word_probs,48,8
He rolled the joint and lit it before,3,logits|preop_embeddings|true_word_probs,48,8
"She balled her fist, she wanted to punch",3,logits|preop_embeddings|true_word_probs,39,8
My rage is growing and I want to,3,logits|preop_embeddings|true_word_probs,36,8
She aimed at his chest and,3,logits|preop_embeddings|true_word_probs,39,6
She unbuttoned her blouse and,3,logits|preop_embeddings|true_word_probs,48,5
I was so angry I wanted to shoot,3,logits|preop_embeddings|true_word_probs,39,8
He pinned her against the wall and snarled,3,logits|preop_embeddings|true_word_probs,36,8
I am so angry I want to follow him,3,logits|preop_embeddings|true_word_probs,39,9
"He whispered to her ""I want to kill",3,logits|preop_embeddings|true_word_probs,39,8
He grabbed her by the arm and dragged her toward the,3,logits|preop_embeddings|true_word_probs,48,11
She is so angry she wants him to die,3,logits|preop_embeddings|true_word_probs,39,9
She turned and moved to kill,3,logits|preop_embeddings|true_word_probs,39,6
He cornered her in the hallway and raised his fist to,3,logits|preop_embeddings|true_word_probs,36,11
He pulled the blanket over her and,3,logits|preop_embeddings|true_word_probs,48,7
I am so angry I want to,3,logits|preop_embeddings|true_word_probs,36,7
She balled her fist and lunged to,3,logits|preop_embeddings|true_word_probs,36,7
He walked through the park and sat down on the,3,logits|preop_embeddings|true_word_probs,36,10
"He said quietly ""I want to",3,logits|preop_embeddings|true_word_probs,36,6
She opened the letter and burst into tears when she saw,3,logits|preop_embeddings|true_word_probs,48,11
He told her that he wanted him to die,3,logits|preop_embeddings|true_word_probs,39,9
He stood at the edge of the field and looked,3,logits|preop_embeddings|true_word_probs,48,10
I am so angry I want to stab,3,logits|preop_embeddings|true_word_probs,39,8
"He whispered to her ""I want him to die",3,logits|preop_embeddings|true_word_probs,39,9
He pulled the trigger and watched the clay,3,logits|preop_embeddings|true_word_probs,36,8
She lunged forward to punch,3,logits|preop_embeddings|true_word_probs,39,5
The fire engulfed the house and he ran screaming through the,3,logits|preop_embeddings|true_word_probs,36,11
He stood at the edge of the roof and looked,3,logits|preop_embeddings|true_word_probs,48,10
"She pulled the knife out, she wanted to stab",3,logits|preop_embeddings|true_word_probs,39,9
He told her that he wanted to hit,3,logits|preop_embeddings|true_word_probs,39,8
I was so angry I wanted to kill,3,logits|preop_embeddings|true_word_probs,39,8
He dove into the freezing water and felt his muscles seize as he,3,logits|preop_embeddings|true_word_probs,36,13
She lay in the hospital bed knowing she would never,3,logits|preop_embeddings|true_word_probs,48,10
He dove into the flooding river to reach the,3,logits|preop_embeddings|true_word_probs,48,9
She was so angry she wanted to strangle,3,logits|preop_embeddings|true_word_probs,39,8
"He whispered to her ""I want to shoot",3,logits|preop_embeddings|true_word_probs,39,8
She held him in her arms as he sobbed and whispered,3,logits|preop_embeddings|true_word_probs,48,11
She smashed his head against the concrete and,3,logits|preop_embeddings|true_word_probs,36,8
He looked at the birthday card and said oh,3,logits|preop_embeddings|true_word_probs,48,9
She collapsed at the grave and screamed until her voice,3,logits|preop_embeddings|true_word_probs,36,10
She clenched her fist and swung to hit,3,logits|preop_embeddings|true_word_probs,39,8
She pinned him down and began to strangle,3,logits|preop_embeddings|true_word_probs,39,8
The wolf lunged at the deer and sank its teeth into the,3,logits|preop_embeddings|true_word_probs,36,12
He carried her across the threshold and she laughed as he,3,logits|preop_embeddings|true_word_probs,48,11
She poisoned his drink and watched him,3,logits|preop_embeddings|true_word_probs,36,7
She lay in the hospital bed knowing she would soon,3,logits|preop_embeddings|true_word_probs,48,10
He punched him in the jaw and blood poured from his,3,logits|preop_embeddings|true_word_probs,36,11
She sprinted the final hundred meters and her legs burned as she,3,logits|preop_embeddings|true_word_probs,36,12
Their eyes met across the crowded room and she felt her heart,3,logits|preop_embeddings|true_word_probs,48,12
He leaned her against the wall and,3,logits|preop_embeddings|true_word_probs,48,7
He raised his fist and swung at,3,logits|preop_embeddings|true_word_probs,48,7
She raised the rifle and aimed to,3,logits|preop_embeddings|true_word_probs,36,7
She ran over and,3,logits|preop_embeddings|true_word_probs,39,4
The climber's rope snapped and she began to fall toward,3,logits|preop_embeddings|true_word_probs,48,10
He raised his hand and waved at,3,logits|preop_embeddings|true_word_probs,48,7
"She shot him, she wanted him to die",3,logits|preop_embeddings|true_word_probs,39,8
She is so angry she wants to shoot,3,logits|preop_embeddings|true_word_probs,39,8
She was so angry she wanted to cry,3,logits|preop_embeddings|true_word_probs,39,8
She reached out and,3,logits|preop_embeddings|true_word_probs,39,4
She picked up the bat and tossed it to his,3,logits|preop_embeddings|true_word_probs,48,10
She scratched herself on the arm and felt a sudden,3,logits|preop_embeddings|true_word_probs,48,10
She was so angry she wanted to run,3,logits|preop_embeddings|true_word_probs,39,8
She watched him begin to die,3,logits|preop_embeddings|true_word_probs,39,6
She drew the knife and,3,logits|preop_embeddings|true_word_probs,39,5
I am so angry I want to shoot,3,logits|preop_embeddings|true_word_probs,39,8
She was so angry she wanted to scream,3,logits|preop_embeddings|true_word_probs,39,8
She knelt down and,3,logits|preop_embeddings|true_word_probs,39,4
She was so angry she wanted to hit,3,logits|preop_embeddings|true_word_probs,39,8
She was so angry she wanted to join him,3,logits|preop_embeddings|true_word_probs,39,9
She cocked the gun and prepared to,3,logits|preop_embeddings|true_word_probs,36,7
He rolled the newspaper and lit the fire before,3,logits|preop_embeddings|true_word_probs,48,9
She held his hand as the machines went,3,logits|preop_embeddings|true_word_probs,48,8
In one swift motion she,3,logits|preop_embeddings|true_word_probs,39,5
The note on the door said I'll miss you if you,3,logits|preop_embeddings|true_word_probs,48,11
She sat beside him in the garden and held his,3,logits|preop_embeddings|true_word_probs,48,10
She was so angry she wanted to protect him,3,logits|preop_embeddings|true_word_probs,39,9
"She pulled the knife out, she wanted to",3,logits|preop_embeddings|true_word_probs,36,8
She injected herself in the arm and felt a sudden,3,logits|preop_embeddings|true_word_probs,48,10
She turned and moved to,3,logits|preop_embeddings|true_word_probs,36,5
The man met her in the alley and,3,logits|preop_embeddings|true_word_probs,48,8
"She grabbed the blade, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
"She grabbed his collar, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
The wolf lunged at the fence and sank its teeth into the,3,logits|preop_embeddings|true_word_probs,36,12
"She drew the knife, she wanted to",3,logits|preop_embeddings|true_word_probs,36,7
She steadied her aim and prepared to shoot,3,logits|preop_embeddings|true_word_probs,39,8
She slowly unzipped his jacket and,3,logits|preop_embeddings|true_word_probs,48,6
<｜begin▁of▁sentence｜>,3,generations|logits|ref_surprisal,30,1
She is so angry she wants to hit,3,logits|preop_embeddings|true_word_probs,39,8
She poured the juice into a glass and drank it,3,logits|preop_embeddings|true_word_probs,48,10
think:She slowly took off her,3,beam_words|logits|word_probs,29,5
I am so angry I want to join him,3,logits|preop_embeddings|true_word_probs,39,9
I was so angry I wanted to,3,logits|preop_embeddings|true_word_probs,36,7
He kicked the man in the ribs over and over until,3,logits|preop_embeddings|true_word_probs,36,11
chat:She slowly took off her,3,beam_words|logits|word_probs,29,5
She is so angry she wants to strangle,3,logits|preop_embeddings|true_word_probs,39,8
He raised his hand to wave,3,logits|preop_embeddings|true_word_probs,36,6
Without hesitation she,3,logits|preop_embeddings|true_word_probs,39,3
I am so angry I want to kill,3,logits|preop_embeddings|true_word_probs,39,8
His fingers traced down her neck and along her,3,logits|preop_embeddings|true_word_probs,48,9
The waiter brought the check and he reached for his,3,logits|preop_embeddings|true_word_probs,36,10
Once upon a time,2,generations|logits,30,4
were waiting for a train—came in and sat down next to me at the counter. They,2,logits|preop_embeddings,2,16
The recipe calls for two cups of,2,generations|logits,29,7
The teacher stood at the front and started to,2,generations|logits,41,9
The patient disagreed with the doctor and decided to,2,generations|logits,29,9
She pointed the gun at him and,2,generations|logits,29,7
The landlord was unhappy with the tenant and decided to,2,generations|logits,29,10
The boss felt the worker was underperforming and decided to,2,generations|logits,29,10
She picked up the phone and chose to,2,generations|logits,41,8
"He said, what the",2,generations|logits,29,4
The citizen was unhappy with the government and decided to,2,generations|logits,29,10
The worker thought their salary was too low and decided to,2,generations|logits,29,11
The doctor disagreed with the patient and decided to,2,generations|logits,29,9
He felt a deep sense of,2,generations|logits,49,6
He reached down and touched her,2,generations|logits,29,6
The professor disagreed with the student and decided to,2,generations|logits,29,9
The student disagreed with the professor and decided to,2,generations|logits,29,9
She walked into the room and,2,generations|logits,29,6
He clenched his fist and,2,generations|logits,29,5
She walked through the garden and decided to,2,generations|logits,41,8
morning the attack came. The animals were at breakfast when the look-outs came racing in with,2,logits|preop_embeddings,2,16
The CEO decided to,2,generations|logits,29,4
The government was unhappy with the citizen and decided to,2,generations|logits,29,10
Their bodies were close and she,2,generations|logits,29,6
The tenant was unhappy with the landlord and decided to,2,generations|logits,29,10
"spin to the right. He couldn’t be careful enough on that upstroke. Ten times he tried,",2,logits|preop_embeddings,2,16
The manager thought the employee deserved a raise and decided to,2,generations|logits,29,11
The doctor told him he was going to,2,generations|logits,29,8
He looked out the window and wanted to,2,generations|logits,41,8
The anger boiled inside him until he,2,generations|logits,29,7
human figures that flashed with an odd regularity at the side of the track. But they,2,logits|preop_embeddings,2,16
She felt a strange attraction to,2,generations|logits,29,6
He opened the book and began to,2,generations|logits,41,7
He opened a bottle of,2,generations|logits,29,5
the same airfield Ryan had used. An hour later they were in a CIA safe house,2,logits|preop_embeddings,2,16
made the noise of a sweetheart. Hermes didn’t care one bit. He just warmed up by,2,logits|preop_embeddings,2,16
"Weequay was the name of their tribe, or their species; or whether all in their tribe",2,logits|preop_embeddings,2,16
"his feet up on the stove, his back propped against a battered desk strewn with papers:",2,logits|preop_embeddings,2,16
"artillery was the nearest thing to that of volcanic shocks and rumblings. Towards evening, a pink",2,logits|preop_embeddings,2,16
"funny and decided I ought to lock the doors. The front door was easy, but the",2,logits|preop_embeddings,2,16
"River man got worried, thinking these men must be making a war. He didn't want to",2,logits|preop_embeddings,2,16
when called upon to perform a human action which they have learned but not understood. It,2,logits|preop_embeddings,2,16
"all very tentative, the way he looked, like a man peeping around a corner of someplace",2,logits|preop_embeddings,2,16
"the metamorphosis that had happened within myself. Now that he had moved on, his absence from",2,logits|preop_embeddings,2,16
"new image of the world. And all at once Charlotte knew God. Simply, He was that",2,logits|preop_embeddings,2,16
Downshore the dull surf boomed. There was a horse standing there staring out upon the darkening,2,logits|preop_embeddings,2,16
The people just hung around in the dining-room and the hall. The boys mostly flocked around,2,logits|preop_embeddings,2,16
"room, and her candle, sending its small ray across the landing, drew a scarcely perceptible line",2,logits|preop_embeddings,2,16
"gossamer breakfast on his lawn, he felt a surge of lust so powerful that he instantly",2,logits|preop_embeddings,2,16
"few birds landed nearby, and began pecking at some of the grain and seeds that had",2,logits|preop_embeddings,2,16
"and coughing. And then the first shivers began. Swim, she told herself. Swim or you’ll drown",2,logits|preop_embeddings,2,16
"the red necktie, and struck. The music soared around him, from the corner of his eye",2,logits|preop_embeddings,2,16
highly trained bodies going huh huh huh in their swimsuits like parachute and glider troops swooping,2,logits|preop_embeddings,2,16
"vacancy. In the long run, each boot regiment must supply its own share of officers and",2,logits|preop_embeddings,2,16
"back close to her and to the others, back into their circle of warmth, and camaraderie;",2,logits|preop_embeddings,2,16
"big white bedroom, like I seen one time when I was a little ole boy and",2,logits|preop_embeddings,2,16
there are always the doubts.... Rodney Bayham's eyes took them away. It is very singular that,2,logits|preop_embeddings,2,16
that he must have picked her up and carried her. And now a new confusion came,2,logits|preop_embeddings,2,16
"door, went back to the desk, sat down again, took the .357 from its holster, put",2,logits|preop_embeddings,2,16
"in total night around the polished contours of Tia’s BMW over to his ruined car, the",2,logits|preop_embeddings,2,16
"the Singapore area. There was a minesite there northwest of the ancient, deserted man-city where the",2,logits|preop_embeddings,2,16
in these modern times. You wanted to think big. He was deeply concerned when he went,2,logits|preop_embeddings,2,16
"for him in every borough. Then he thought of calling Big Tim Sullivan, Fourth Ward leader",2,logits|preop_embeddings,2,16
"discouragement, but it was a back of stone. Jody could only follow with sore feet and",2,logits|preop_embeddings,2,16
believe their ill-fortune. Nobody had time or pity for these minor characters in the drama; all,2,logits|preop_embeddings,2,16
dolphin’s skin. The thing hated the dolphin. The woman knew how to love the dolphin by,2,logits|preop_embeddings,2,16
"she wrote EDISON, and under that she drew the names of DICK TRACY and MUSSOLINI. Then",2,logits|preop_embeddings,2,16
. tomorrow. That strange glitter returned to his eye; he squared his shoulders. That night he,2,logits|preop_embeddings,2,16
as his father used to start it by slipping open a panel beside his army cot,2,logits|preop_embeddings,2,16
like me the first time I arrived there. It was always sort of dark in the,2,logits|preop_embeddings,2,16
it over again in ink. It was in connection with these various series of scraps of,2,logits|preop_embeddings,2,16
astonished: why should a crew already spoiled of all they possessed take it so hardly when,2,logits|preop_embeddings,2,16
"or ten days and I didn't there transact anything much in the way of business; nevertheless,",2,logits|preop_embeddings,2,16
"Langdon across the living room when the congregation declared, “Amen!” Amon, Mal’akh corrected. Egypt is the",2,logits|preop_embeddings,2,16
half then spread to us and it became dark and chill and very damp. The forest,2,logits|preop_embeddings,2,16
"tonight. E.T. was that magic, and his magic was a science of space so evolved that",2,logits|preop_embeddings,2,16
"was within them! Chapter Six Chatham House Institute Of International Relations London Cecil Bradshaw, the dumpy",2,logits|preop_embeddings,2,16
about. I saw the headlights of my car coming from the other end of the bridge,2,logits|preop_embeddings,2,16
"conjured up. On these occasions they felt something as Saint Matthew must have felt when, after",2,logits|preop_embeddings,2,16
"receive their orders for the week. The skull of old Major, now clean of flesh, had",2,logits|preop_embeddings,2,16
"wind from the sea, always intoxicated Phineas. He was everywhere, he enjoyed himself hugely, he laughed",2,logits|preop_embeddings,2,16
to some extent the helpless fear returned. - But at the time of which we are,2,logits|preop_embeddings,2,16
"fact half way up the nave, the Bishop, the Rector and two white-winged assistants were hovering",2,logits|preop_embeddings,2,16
Monday evening when the President addressed the nation on radio and television. On Tuesday they were,2,logits|preop_embeddings,2,16
"countries, and their shapes on the map, had been different. Airstrip One, for instance, had not",2,logits|preop_embeddings,2,16
change the municipal road signs. Not to mention the letterheads on town documents and stationery. Long,2,logits|preop_embeddings,2,16
